standard_form,dialect_form
다른 에스엔에스는 별로 안 하는 거 같애요 제가,따른 에스엔에스는 별로 안 하는 거 같애요 제가
그냥 자기 심심하거나 나 심심하거나 뭐 아니면 내가 조금,그냥 지 심심하거나 나 심심하거나 뭐 아니면 내가 쫌
어 조금 그러는데 연인 사이엔 또 다르거든요 그래서,어 쫌 그러는데 연인 사이엔 또 다르거든요 그래서
그러기 위해서 그냥 카카오톡 쓰는 거 같고 저는 조금,그러기 위해서 그냥 카카오톡 쓰는 거 같고 저는 쫌
페북을 조금 자주 하는 거 같애요,페북을 쫌 자주 하는 거 같애요
그거 있잖아요 그래서 거기에 보면은 조금,그거 있잖아요 그래서 거기에 보면은 쫌
아니면은 조금 재밌는 영상 홍보하는 그런 스폰서 사이트 계정이라 해야 되나?,아니면은 쫌 재밌는 영상 홍보하는 그런 스폰서 사이트 계정이라 해야 되나?
조금 자주 쓰는 에스엔에스가 뭐세요?,쫌 자주 쓰는 에스엔에스가 뭐세요?
제 친구가 틱톡에서 조금 유명한 틱톡 스타?,제 친구가 틱톡에서 쫌 유명한 틱톡 스타?
그 팔로워를 들어 보니까 육백팔십만 명이라고 하더라고요 그래서 와 너 진짜 대박이다라면서 약간 보 보는,그 팔로워를 들어 보니까 육백팔십만 명이라고 하더라고요 그래서 와 니 진짜 대박이다라면서 약간 보 보는
아 어 이런 관심은 조금 부담스럽다 해서 영상 다 내리고 그냥 구경하는 용도로만 쓰고 있는데,아 어 이런 관심은 쫌 부담스럽다 해서 영상 다 내리고 그냥 구경하는 용도로만 쓰고 있는데
조금 뭐라 해야 되지 시간 가는 줄 모르고 보기도 좋은 거 같고 아무래도 친구가,쫌 뭐라 해야 되지 시간 가는 줄 모르고 보기도 좋은 거 같고 아무래도 친구가
조금 에스엔에스 스타다 보니까 어 계속 보게 되고 좋아요 누르게 되고 뭐 보다 보면,쫌 에스엔에스 스타다 보니까 어 계속 보게 되고 좋아요 누르게 되고 뭐 보다 보면
그래가지고 어 조금,그래가지고 어 쫌
그래서 전 사진작가들 조금 유명한 사람들 팔로우하긴 해요,그래서 전 사진작가들 쫌 유명한 사람들 팔로우하긴 해요
댓글 달고 뭐 이 정도만 조금 했던 거 같은데 혹시 옛날에 카카오 스토리 했어요?,댓글 달고 뭐 이 정도만 쫌 했던 거 같은데 혹시 옛날에 카카오 스토리 했어요?
그리고 조금 어 틱톡 같은 경우는 조금,그리고 쫌 어 틱톡 같은 경우는 쫌
사람들이 보긴 하는구나 이런 식으로 저는 조금 약간,사람들이 보긴 하는구나 이런 식으로 저는 쫌 약간
조금 그리고 약간 에스엔에스 보다 보면은,쫌 그리고 약간 에스엔에스 보다 보면은
조금 뭐라고 해야 되지?,쫌 뭐라고 해야 되지?
그런 드라마 클립 해가지고 막 올리는데 그런 거 보다 보면 조금,그런 드라마 클립 해가지고 막 올리는데 그런 거 보다 보면 쫌
재밌는 드라마가 많겠구나 싶어서 다른 드라마도 보게 되고 에스엔에스 효과가 조금 많은 거 같더라고요,재밌는 드라마가 많겠구나 싶어서 따른 드라마도 보게 되고 에스엔에스 효과가 쫌 많은 거 같더라고요
조금 에스엔에스가 그리 좋은 것만은 아니지 않나라고 생각이 들어요 왜냐면,쫌 에스엔에스가 그리 좋은 것만은 아니지 않나라고 생각이 들어요 왜냐면
조금 방구석에서 키보드 워리어처럼 욕은 하는데 막상,쫌 방구석에서 키보드 워리어처럼 욕은 하는데 막상
조금 약간 그 나쁜 말 악 악플 같은 걸 많이 보게 되는데,쫌 약간 그 나쁜 말 악 악플 같은 걸 많이 보게 되는데
제 친구의 친구인데 그 친구가 조금 그 팔로우도 많고,제 친구의 친구인데 그 친구가 쫌 그 팔로우도 많고
동네 그냥 음식점 새로 생긴 음식점을 가도 아 에스엔에스에 조금 올려 달라,동네 그냥 음식점 새로 생긴 음식점을 가도 아 에스엔에스에 쫌 올려 달라
음료수를 주거나 아 조금 음식을 좀 많이 줄 테니까 에스엔에스에 꼭 올려 달라 이렇게 부탁하시는 사장님도 꽤 많이 봤고,음료수를 주거나 아 쫌 음식을 좀 많이 줄 테니까 에스엔에스에 꼭 올려 달라 이렇게 부탁하시는 사장님도 꽤 많이 봤고
어 조금 자유를 어 제재를 하면 자유를 억압하신다고 했는데 솔직히,어 쫌 자유를 어 제재를 하면 자유를 억압하신다고 했는데 솔직히
붙여 놓았더라고요 테이블마다 아니면 잘 보이는 벽면에다가 에스엔에스에 후기를 올려 주시면,붙여 놨더라고요 테이블마다 아니면 잘 보이는 벽면에다가 에스엔에스에 후기를 올려 주시면
적어 놓았더라고요 그래서 어 저런 거 보면은 어 그 신기하기도 하고 여기도 옆에 이렇게,적어 놨더라고요 그래서 어 저런 거 보면은 어 그 신기하기도 하고 여기도 옆에 이케
뭔가를 하는 건지 신기한 거 같고 조금 에스엔에스 스타,뭔가를 하는 건지 신기한 거 같고 쫌 에스엔에스 스타
이런 사람들한테 뭔가를 홍보를 맡기고 준다는 거는 어떻게 보면 조금 당연한 게 걔네는,이런 사람들한테 뭔가를 홍보를 맡기고 준다는 거는 어떻게 보면 쫌 당연한 게 걔네는
